order_month,payment_value_by_month,order_by_month,avg_order_value,MoM
2017-10-01,757563.7,4511,167.94,
2017-11-01,1162150.28,7361,157.88,0.5341
2017-12-01,850702.03,5570,152.73,-0.268
2018-01-01,1090459.92,7143,152.66,0.2818
2018-02-01,978178.51,6612,147.94,-0.103
2018-03-01,1141298.65,7136,159.94,0.1668
2018-04-01,1152799.62,6897,167.15,0.0101
2018-05-01,1137672.32,6803,167.23,-0.0131
2018-06-01,1020067.53,6142,166.08,-0.1034
2018-07-01,1036087.25,6219,166.6,0.0157
2018-08-01,993832.9,6398,155.33,-0.0408
2018-09-01,166.46,1,166.46,-0.9998
