customer_state,avg_review_score,total_num
AP,4.19402985074627,67
AM,4.1836734693877569,147
PR,4.18003175863436,5038
SP,4.1739505876709222,41690
MG,4.136172043010748,11625
RS,4.1333211745394811,5483
MS,4.1187845303867432,724
RN,4.1058091286307024,482
MT,4.1029900332225919,903
TO,4.0967741935483861,279
SC,4.07176373171405,3623
DF,4.0647113594040869,2148
RO,4.0515873015873032,252
AC,4.0493827160493829,81
GO,4.04249011857708,2024
ES,4.0416666666666732,2016
PB,4.0188323917137483,531
PE,4.0115431348724222,1646
PI,3.9205702647657841,491
RJ,3.8749706227967349,12765
BA,3.8608876973488293,3357
CE,3.8510158013544054,1329
PA,3.8491735537190048,968
SE,3.8080229226361029,349
MA,3.7640750670241285,746
AL,3.7512077294685984,414
RR,3.6086956521739131,46
